1	0.000582	243588
1.73	0.009453	3953114
2	0.005749	2404092
2.65	0.009711	4061180
3	0.00656	2743322
3.46	0.006551	2739634
3.61	0.011758	4917386
4	0.005615	2348372
4.36	0.011352	4747570
4.58	0.012056	5041992
5	0.005891	2463692
5.2	0.006023	2518640
5.29	0.011739	4909260
5.57	0.011644	4869534
6	0.005913	2472774
6.08	0.011674	4882022
6.24	0.011827	4946008
6.56	0.011769	4921830
6.93	0.005915	2473796
7	0.017623	7370032
7.21	0.011727	4904134
7.55	0.011789	4930316
7.81	0.011735	4907572
7.94	0.01179	4930538
8	0.005883	2460236
8.19	0.011765	4920086
8.54	0.011741	4909982
8.66	0.005897	2466282
8.72	0.011781	4926754
8.89	0.011739	4909304
9	0.005894	2464804
9.17	0.011775	4924206
9.54	0.023506	9830356
9.64	0.011771	4922494
9.85	0.011766	4920514
10	0.005873	2455982
10.15	0.011758	4917202
10.39	0.005896	2465766
10.44	0.011757	4916904
10.54	0.011795	4932496
10.58	0.011764	4919632
10.82	0.011777	4925054
11	0.005881	2459404
11.14	0.011735	4907524
11.27	0.011758	4917160
11.36	0.011769	4921944
11.53	0.0235	9827886
11.79	0.0118	4934966
12	0.005875	2457024
12.12	0.017659	7385202
12.17	0.011755	4915988
12.29	0.01179	4930476
12.49	0.011777	4925138
12.53	0.011773	4923664
12.77	0.011721	4901926
13	0.017669	7389236
13.08	0.011741	4910078
13.11	0.011792	4931272
13.23	0.011752	4914604
13.45	0.011807	4937816
13.53	0.01175	4913998
13.75	0.011745	4911964
13.86	0.005878	2458016
13.89	0.011758	4917124
14	0.017673	7390754
14.11	0.011744	4911274
14.18	0.01175	4913808
14.42	0.011746	4911988
14.53	0.011795	4932694
14.73	0.02358	9861178
14.8	0.011738	4908960
14.93	0.011768	4921348
15	0.005874	2456380
15.1	0.011747	4912466
15.13	0.011785	4928638
15.39	0.01176	4917998
15.52	0.011735	4907502
15.59	0.005871	2455418
15.62	0.011776	4924730
15.72	0.023541	9844772
15.87	0.011738	4908868
16	0.002956	1236096
