0	0.00000	0.0000000	0.0000000	0.0000000	4.6249700	0.0000000
1	0.12256	0.3256960	0.0089867	0.1555337	-2.4038500	0.0088751
2	0.24512	0.8871300	0.0728203	0.4719844	-2.6965800	0.0719152
3	0.36768	1.3998900	0.1090420	0.7389225	-2.4276800	0.1076870
4	0.49025	1.2253000	0.1347030	0.6860267	-2.0717700	0.1330290
5	0.61281	0.5279290	0.0459756	0.2835173	-0.9363680	0.0454042
6	0.73537	0.4742260	0.0284607	0.2418387	-0.2445930	0.0281070
7	0.85793	0.5152510	0.0152688	0.2471060	-0.2515360	0.0150790
8	0.98049	0.8560800	0.0361600	0.4213532	-0.9351060	0.0357106
9	1.10305	1.2204400	0.0470627	0.5961997	-1.5281100	0.0464778
10	1.22562	1.1182300	0.0856799	0.5888275	-1.8699900	0.0846150
11	1.34818	0.6695480	0.0758468	0.3771099	-1.7963900	0.0749041
12	1.47074	1.0209300	0.1192330	0.5786005	-2.1031300	0.1177510
13	1.59330	1.2651400	0.1102950	0.6795447	-1.8750400	0.1089240
14	1.71586	1.5653100	0.0593139	0.7636251	-1.5577800	0.0585767
15	1.83842	1.4626900	0.0405710	0.6987084	-1.1899200	0.0400667
