1.73	0.00737	759300
2	0.00635	654160
2.65	0.011321	1166338
3	0.005884	606182
3.46	0.005943	612290
3.61	0.011862	1221990
4	0.005913	609182
4.36	0.011765	1211984
4.58	0.011775	1213034
5	0.005878	605538
5.2	0.005902	608018
5.29	0.011768	1212388
5.57	0.011798	1215384
6	0.005889	606712
6.08	0.011769	1212486
6.24	0.011786	1214232
6.56	0.011807	1216352
6.93	0.005892	606998
7	0.017676	1820990
7.21	0.011796	1215262
7.55	0.011802	1215818
7.81	0.011825	1218214
7.94	0.011751	1210630
8	0.005914	609260
8.19	0.011795	1215124
8.54	0.011764	1211878
8.66	0.005897	607542
8.72	0.011744	1209902
8.89	0.011802	1215864
9	0.00588	605804
9.17	0.011787	1214318
9.54	0.023549	2425968
9.64	0.011791	1214674
9.85	0.011767	1212254
10	0.005886	606332
10.15	0.011749	1210424
10.39	0.005898	607642
10.44	0.011754	1210902
10.54	0.011775	1213026
10.58	0.011785	1214074
10.82	0.011773	1212896
11	0.005887	606486
11.14	0.011766	1212168
11.27	0.011776	1213178
11.36	0.01178	1213598
11.53	0.023609	2432166
11.79	0.011782	1213808
12	0.005903	608150
12.12	0.017662	1819578
12.17	0.011739	1209344
12.29	0.011789	1214520
12.49	0.011771	1212652
12.53	0.011777	1213260
12.77	0.011808	1216412
13	0.01769	1822384
13.08	0.011795	1215112
13.11	0.011782	1213750
13.23	0.011761	1211596
13.45	0.01177	1212522
13.53	0.0118	1215586
13.75	0.011777	1213280
13.86	0.005895	607288
13.89	0.011773	1212892
14	0.017682	1821564
14.11	0.011789	1214488
14.18	0.011803	1215904
14.42	0.01179	1214576
14.53	0.011797	1215298
14.73	0.02352	2423016
14.8	0.011763	1211816
14.93	0.011775	1213044
15	0.005883	606082
15.1	0.011806	1216238
15.13	0.011774	1212918
15.39	0.011794	1215062
15.52	0.0118	1215612
15.59	0.005866	604338
15.62	0.011789	1214522
15.72	0.023582	2429414
15.87	0.011765	1212070
16	0.002926	301396
