0	0	0	0	4.62497	0
0.12256	0.569935	0.0071375	0.2635797	-0.102905	0.0070488
0.24512	1.62582	0.0640405	0.7955782	-0.207497	0.0632446
0.36768	2.34868	0.355136	1.4119246	-0.76779	0.350722
0.49025	2.51362	0.528374	1.6593773	-1.02678	0.419923
0.61281	2.08233	0.757977	1.6949214	-1.4959	0.602399
0.73537	2.31522	0.810356	1.8520892	-1.36333	0.595431
0.85793	3.12329	1.24152	2.6468443	-1.18492	0.73273
0.98049	3.59971	0.796225	2.4159145	-0.859803	0.469921
1.10305	4.31106	0.881536	2.8212974	-0.57494	0.410981
1.22562	4.34848	1.47551	3.4321086	-0.596419	0.687898
1.34818	5.58514	0.0824358	2.5954695	-0.087828	0.0257445
1.47074	6.78843	0.768235	3.8226891	-0.024157	0.239918
1.5933	8.82562	1.06568	5.0367677	-0.0327133	0.229659
1.71586	7.45348	0.101753	3.4554463	-0.104617	0.0219284
1.83842	7.90442	0.0787013	3.6352951	-0.164565	0.0169606
