"CO/Pt111 System Monte-Carlo Simulation."		"Started: Wed Dec 16 11:37:05 2009"																																															
																																																	
																																																	
"name=./montecarlo-1.1.1"																																																	
"dim=32"	" n_co=205"																																																
"skip_sweeps=100000"	" time_factor=1"	" time_steps=10"	" repeats=1000000"																																														
"options: s "																																																	
"Interaction mode: None"																																																	
																																																	
"----------------------"																																																	
																																																	
"Coordinates:"																																																	
9.5	-9.65		-2.07	-1.33		-11.89	24.76		-0.96	2.67		0.97	10.13		-6.7	-7.39		5.5	-7.39		-1.32	-13.78		7.4	17.81		6.1	2.91		16.26	2.19		-0.65	-3.68		2.79	6.35		16.62	5.73		6.27	-7.01		12.42	2.08		15.96	5.09
-5.32	-11.21		-15.81	6.48		3.53	26.14		-2.78	11.04		12.91	-9.94		-1.37	-10.91		11.51	-4.25		-1.58	0.99		0.4	-1.91		7.1	-5.74		11.07	-1.37		-4.83	-18.13		3.28	-19.53		-7.7	8.41		13.04	-0.59		-17.51	-5.03		-8.27	-1.82
-16.78	8.78		3.03	0.32		2.19	1.63		2.28	-1.5		-9.36	8.29		17.89	-11.5		-10.29	1.14		7.04	1.27		-10.71	10.95		0.51	6.05		-22.59	-20.69		4.5	9.84		-19.78	9.29		-24.52	6.14		6.31	2.5		-9.4	8.76		16.78	1.71
-1.5	10.24		0.15	3.75		-5.82	9.36		-8.38	4.62		0.21	7.63		-14.17	2.95		13.87	-7.73		-21.39	3.43		11.84	21.73		-10.39	-12.69		-2.51	-0.51		-6.76	-18.64		21.45	8.14		-0.43	-12.08		12.29	-4.48		-3.93	-2.57		-11.29	-2.34
1.35	12.27		-8.92	-15.29		4.13	-12.52		9.27	-7.09		-3.94	-4.96		2.22	11.26		3.99	-12.7		1.28	1.4		14.27	13.5		6.4	-4.07		-1.46	0.92		-2.83	-3.07		-4.59	-12.11		16.2	1.86		-0.56	-11.78		-1.4	-12.91		3.04	12.12
-5.34	2.79		-5	-9.63		-1.5	-6.73		-4.39	7.21		2.09	-8.11		-4.15	14.88		-4.08	-2.47		3.3	13.36		11.73	-1.9		9.92	14.72		-4.27	-8.6		-3.94	-10.53		9.7	6.72		-12.23	-16.51		-5.51	-15.93		0.7	-1.67		-12.3	-9.1
0	-3		-0.42	-1.79		28.48	3.84		4.05	-0.59		1.9	0.76		0.2	2.52		-9.29	-5.16		-14.26	8.74		-4	7		-4.93	-4.11		4.18	17.86		5.21	16.81		-9.17	-3.83		-9.66	12.88		10.4	14.11		-1.87	-5.45		10	-1
0.89	-0.7		-9.37	8.81		9.22	-3.83		3.53	-15.85		-7.72	-13		7.33	0.24		-6.96	1.87		-3.19	-16.54		-2.38	-2.1		-4.06	-25.81		-10.22	-1.1		-6.21	6.28		-7.2	11.89		3.2	3.5		-5.54	5.46		0.36	13.57		-2.07	-2.4
-7.25	-9.97		2.52	3.45		-5.2	-4.03		-4.18	-2.66		-4.04	1.17		17.91	6.72		19.95	-0.6		4.48	15.5		-7.91	-10.5		4.03	-1.46		-1.74	2.57		-6.45	15.82		2.47	2.91		-13.93	5.17		23.19	26.8		4.7	-9.13		-4.94	13.88
9.48	-6.32		24.43	1.63		7.95	-13.01		4.98	-1.82		0.62	9.72		-11.97	-9.32		13.57	-11.69		-4.22	15.57		-7.11	14.84		-0.66	-1.88		7.71	12.34		1.86	-4.44		-5.37	-5.82		-15.36	3.58		4.93	-4.85		-3.46	-17.98		10.16	-3.8
