0.000	-0.067	-0.066	-0.066	-0.067	-0.065	-0.067	-0.068	-0.067	-0.065	-0.069	-0.066	-0.069	-0.066	-0.066	-0.068
1.000	-0.159	-0.407	-0.745	-1.085	-1.346	-1.489	-1.502	-1.415	-1.267	-1.135	-1.054	-1.057	-1.138	-1.262	-1.370
2.000	-0.250	-0.750	-1.421	-2.098	-2.629	-2.904	-2.922	-2.768	-2.465	-2.197	-2.042	-2.039	-2.195	-2.464	-2.673
3.000	-0.342	-1.089	-2.101	-3.118	-3.873			-4.054	-3.658	-3.229	-3.039	-3.028	-3.260	-3.591	-4.002
4.000	-0.434	-1.428	-2.780								-4.062	-3.977			
5.000	-0.525	-1.762	-3.430												
6.000	-0.616	-2.099	-4.040												
7.000	-0.707	-2.435													
8.000	-0.798	-2.780													
9.000	-0.888	-3.118													
10.000	-0.978	-3.477													
