0	47.31	48.14	49.46	51.47	54.1	57.47	61.66	66.68	72.5	79.44	86.73	94.59	101.87	108.45	112.75	114.45
2	45.62	41.79	36.55	31.16	26.43	22.73	20.28	19.06	18.69	19.27	20.66	22.46	24.67	26.93	28.5	29.05
4	43.99	36.29	27.07	19.02	13.22	9.48	7.27	6.18	5.79	5.86	6.29	7.07	7.83	8.68	9.51	9.75
8	40.91	27.4	14.93	7.18	3.5	1.81	1.22	0.95	0.9	0.86	0.97	1.17	1.29	1.58	1.83	1.82
16	35.36	15.65	4.58	1.15	0.35	0.21	0.12	0.22	0.19	0.29	0.35	0.25	0.38	0.38	0.49	0.71
