0.00000	0.0000000	0.0000000	0.0000000	4.6249700	0.0000000
0.12256	0.6668150	0.0052411	0.3052745	-1.6724700	0.0051760
0.24512	1.6135500	0.0508748	0.7768916	-1.6699100	0.0502425
0.36768	1.9264000	0.0947347	0.9615184	-1.5305500	0.0935572
0.49025	1.7716500	0.0840471	0.8812010	-1.0336000	0.0830025
0.61281	1.2883200	0.0454519	0.6251315	-0.2598790	0.0448870
0.73537	0.8263210	0.0208651	0.3926682	0.4608660	0.0206057
0.85793	0.8147110	0.0207078	0.3872870	0.4896280	0.0204504
0.98049	1.2047700	0.0364514	0.5785377	-0.0633800	0.0359984
1.10305	1.6013900	0.0586564	0.7792018	-0.5904360	0.0579274
1.22562	1.7513900	0.0812188	0.8692567	-0.9298540	0.0802094
1.34818	1.7584000	0.0930823	0.8842744	-1.0972600	0.0919254
1.47074	1.7774200	0.0886069	0.8883570	-1.0957400	0.0875056
1.59330	1.7685400	0.0738193	0.8695739	-0.9263330	0.0729018
1.71586	1.6873600	0.0571828	0.8164104	-0.6067710	0.0564721
1.83842	1.5252600	0.0331470	0.7194377	-0.2165450	0.0327350
